DeviceName,DeviceType,Timestamp,UOM1,UOM1Value,UOM2,UOM2Value
GAS11,GAS,20240313 10:43:45,CF,66.4842894,PSI,1.6900667
H2O11,H2O,20240313 10:43:45,CM,53.2031921,TEMPCelsius,10.1238200
ELEC12,ELECTRIC,20240313 10:43:45,kWH,96.719985,kVA,4.5120076
GPS12,GPS,20240313 10:43:45,Latitude,49.2623406,Longitude,-110.8831816
GAS12,GAS,20240313 10:43:45,CF,71.4379304,PSI,0.9026064
H2O12,H2O,20240313 10:43:45,CM,6.1236425,TEMPCelsius,15.3215199
ELEC13,ELECTRIC,20240313 10:43:45,kWH,83.6196475,kVA,6.923096
GPS13,GPS,20240313 10:43:45,Latitude,50.8994742,Longitude,-111.7823479
GAS13,GAS,20240313 10:43:45,CF,27.1333361,PSI,1.561451
H2O13,H2O,20240313 10:43:45,CM,16.4628632,TEMPCelsius,11.2229541
ELEC14,ELECTRIC,20240313 10:43:45,kWH,18.2415886,kVA,8.751731
GPS14,GPS,20240313 10:43:45,Latitude,51.7474719,Longitude,-110.4206134
GAS14,GAS,20240313 10:43:45,CF,56.12687,PSI,0.6550932
H2O14,H2O,20240313 10:43:45,CM,56.3276414,TEMPCelsius,1.5443283
ELEC15,ELECTRIC,20240313 10:43:45,kWH,18.5828210,kVA,6.1566389
GPS15,GPS,20240313 10:43:45,Latitude,51.8373709,Longitude,-111.6707812
GAS15,GAS,20240313 10:43:45,CF,35.1409268,PSI,1.658642
H2O15,H2O,20240313 10:43:45,CM,77.3778995,TEMPCelsius,19.2419638
ELEC16,ELECTRIC,20240313 10:43:45,kWH,83.2973756,kVA,3.6657667
GPS16,GPS,20240313 10:43:45,Latitude,51.2763827,Longitude,-110.8407555
GAS16,GAS,20240313 10:43:45,CF,55.5073518,PSI,1.8830639
H2O16,H2O,20240313 10:43:45,CM,79.3459350,TEMPCelsius,5.2249756
ELEC17,ELECTRIC,20240313 10:43:45,kWH,41.3399482,kVA,2.9132191
GPS17,GPS,20240313 10:43:45,Latitude,51.916067,Longitude,-110.6469202
GAS17,GAS,20240313 10:43:45,CF,76.5442993,PSI,1.1965229
H2O17,H2O,20240313 10:43:45,CM,93.9042000,TEMPCelsius,21.7980959
ELEC18,ELECTRIC,20240313 10:43:45,kWH,89.8618699,kVA,2.455652
GPS18,GPS,20240313 10:43:45,Latitude,51.675727,Longitude,-111.7248318
GAS18,GAS,20240313 10:43:45,CF,82.6789330,PSI,1.2352859
H2O18,H2O,20240313 10:43:45,CM,95.7033202,TEMPCelsius,16.7338232
ELEC19,ELECTRIC,20240313 10:43:45,kWH,19.9339008,kVA,2.2337073
GPS19,GPS,20240313 10:43:45,Latitude,49.5959177,Longitude,-110.1315646
GAS19,GAS,20240313 10:43:45,CF,63.5915839,PSI,0.3925464
H2O19,H2O,20240313 10:43:45,CM,28.6162114,TEMPCelsius,16.8747995
ELEC20,ELECTRIC,20240313 10:43:45,kWH,52.2545181,kVA,0.2181121
GPS20,GPS,20240313 10:43:45,Latitude,51.4787679,Longitude,-111.5488846
GAS20,GAS,20240313 10:43:45,CF,82.3327481,PSI,1.9221386
H2O20,H2O,20240313 10:43:45,CM,88.3826581,TEMPCelsius,8.9971740
ELEC21,ELECTRIC,20240313 10:43:45,kWH,26.1182200,kVA,9.640404
GPS21,GPS,20240313 10:43:45,Latitude,51.6418483,Longitude,-111.8356656
GAS21,GAS,20240313 10:43:45,CF,17.4384133,PSI,0.9224712
H2O21,H2O,20240313 10:43:45,CM,67.4219789,TEMPCelsius,21.7084423
ELEC22,ELECTRIC,20240313 10:43:45,kWH,77.2010927,kVA,4.1731057
GPS22,GPS,20240313 10:43:45,Latitude,49.2379089,Longitude,-111.543344
GAS22,GAS,20240313 10:43:45,CF,29.5204192,PSI,0.5788635
H2O22,H2O,20240313 10:43:45,CM,14.514566,TEMPCelsius,20.1788914
ELEC23,ELECTRIC,20240313 10:43:45,kWH,56.6210582,kVA,9.9695922
GPS23,GPS,20240313 10:43:45,Latitude,50.4286825,Longitude,-110.2332453
GAS23,GAS,20240313 10:43:45,CF,76.9590784,PSI,1.305187
H2O23,H2O,20240313 10:43:45,CM,53.1137308,TEMPCelsius,6.8812607
ELEC24,ELECTRIC,20240313 10:43:45,kWH,98.1415151,kVA,5.8346044
GPS24,GPS,20240313 10:43:45,Latitude,50.5422809,Longitude,-111.7160891
GAS24,GAS,20240313 10:43:45,CF,76.8232809,PSI,1.7498833
H2O24,H2O,20240313 10:43:45,CM,77.1002805,TEMPCelsius,16.441948
ELEC25,ELECTRIC,20240313 10:43:45,kWH,75.6770772,kVA,5.2013039
GPS25,GPS,20240313 10:43:45,Latitude,50.8806609,Longitude,-110.7544506
GAS25,GAS,20240313 10:43:45,CF,88.689602,PSI,0.409471
H2O25,H2O,20240313 10:43:45,CM,36.8650113,TEMPCelsius,5.9669864
ELEC26,ELECTRIC,20240313 10:43:45,kWH,96.2983875,kVA,0.5264527
GPS26,GPS,20240313 10:43:45,Latitude,50.4196501,Longitude,-110.868162
GAS26,GAS,20240313 10:43:45,CF,94.3987270,PSI,0.8324751
H2O26,H2O,20240313 10:43:45,CM,43.8851514,TEMPCelsius,24.2890037
ELEC27,ELECTRIC,20240313 10:43:45,kWH,2.8414374,kVA,1.9525687
GPS27,GPS,20240313 10:43:45,Latitude,51.7846820,Longitude,-111.6492688
GAS27,GAS,20240313 10:43:45,CF,49.1954084,PSI,1.8090546
H2O27,H2O,20240313 10:43:45,CM,5.4487778,TEMPCelsius,22.1937603
ELEC28,ELECTRIC,20240313 10:43:45,kWH,61.8791747,kVA,0.933411
GPS28,GPS,20240313 10:43:45,Latitude,50.9231120,Longitude,-111.4435443
GAS28,GAS,20240313 10:43:45,CF,54.1613513,PSI,1.4029917
H2O28,H2O,20240313 10:43:45,CM,24.5041863,TEMPCelsius,25.4434491
ELEC29,ELECTRIC,20240313 10:43:45,kWH,89.9409101,kVA,4.5078588
GPS29,GPS,20240313 10:43:45,Latitude,51.3866838,Longitude,-111.6867418
GAS29,GAS,20240313 10:43:45,CF,72.8425328,PSI,1.2831654
H2O29,H2O,20240313 10:43:45,CM,83.5175925,TEMPCelsius,0.2249989
ELEC30,ELECTRIC,20240313 10:43:45,kWH,36.7961480,kVA,2.553732
GPS30,GPS,20240313 10:43:45,Latitude,50.6625132,Longitude,-110.860845
GAS30,GAS,20240313 10:43:45,CF,54.6388058,PSI,0.1294276
H2O30,H2O,20240313 10:43:45,CM,44.340701,TEMPCelsius,10.7686971
ELEC31,ELECTRIC,20240313 10:43:45,kWH,42.6669457,kVA,7.2287227
GPS31,GPS,20240313 10:43:45,Latitude,49.8279642,Longitude,-111.1068541
GAS31,GAS,20240313 10:43:45,CF,24.188463,PSI,0.2383588
H2O31,H2O,20240313 10:43:45,CM,50.2216900,TEMPCelsius,4.3966016
ELEC32,ELECTRIC,20240313 10:43:45,kWH,38.1096312,kVA,1.5583310
GPS32,GPS,20240313 10:43:45,Latitude,50.5145696,Longitude,-111.4821615
GAS32,GAS,20240313 10:43:45,CF,25.9089557,PSI,0.2613822
H2O32,H2O,20240313 10:43:45,CM,43.7550626,TEMPCelsius,15.4550493
ELEC33,ELECTRIC,20240313 10:43:45,kWH,29.8456741,kVA,9.3676059
GPS33,GPS,20240313 10:43:45,Latitude,51.1786694,Longitude,-111.8200413
GAS33,GAS,20240313 10:43:45,CF,33.5278314,PSI,1.5768351
H2O33,H2O,20240313 10:43:45,CM,49.8542510,TEMPCelsius,22.337791
ELEC34,ELECTRIC,20240313 10:43:45,kWH,72.3413647,kVA,7.7137967
GPS34,GPS,20240313 10:43:45,Latitude,50.6711188,Longitude,-111.7371981
GAS34,GAS,20240313 10:43:45,CF,83.9932697,PSI,1.5262193
H2O34,H2O,20240313 10:43:45,CM,36.2418164,TEMPCelsius,26.8629740
ELEC35,ELECTRIC,20240313 10:43:45,kWH,33.7615681,kVA,7.2437615
GPS35,GPS,20240313 10:43:45,Latitude,51.65449,Longitude,-110.2610975
GAS35,GAS,20240313 10:43:45,CF,60.7744765,PSI,0.1426043
H2O35,H2O,20240313 10:43:45,CM,72.6598444,TEMPCelsius,7.6820149
ELEC36,ELECTRIC,20240313 10:43:45,kWH,96.7820766,kVA,7.8842539
GPS36,GPS,20240313 10:43:45,Latitude,50.9995908,Longitude,-111.6240211
GAS36,GAS,20240313 10:43:45,CF,15.5753952,PSI,1.6828993
H2O36,H2O,20240313 10:43:45,CM,22.1025989,TEMPCelsius,10.3565838
ELEC37,ELECTRIC,20240313 10:43:45,kWH,20.7789020,kVA,3.2551668
GPS37,GPS,20240313 10:43:45,Latitude,50.9018929,Longitude,-111.1325649
GAS37,GAS,20240313 10:43:45,CF,16.6372826,PSI,0.1839159
H2O37,H2O,20240313 10:43:45,CM,15.2704589,TEMPCelsius,4.5080590
ELEC38,ELECTRIC,20240313 10:43:45,kWH,91.6725275,kVA,1.6088270
GPS38,GPS,20240313 10:43:45,Latitude,50.788237,Longitude,-110.9837106
GAS38,GAS,20240313 10:43:45,CF,25.7690696,PSI,0.528429
H2O38,H2O,20240313 10:43:45,CM,40.2191778,TEMPCelsius,24.7640310
ELEC39,ELECTRIC,20240313 10:43:45,kWH,8.5139812,kVA,4.3204257
GPS39,GPS,20240313 10:43:45,Latitude,51.172187,Longitude,-111.8928932
GAS39,GAS,20240313 10:43:45,CF,96.2122089,PSI,0.9693117
H2O39,H2O,20240313 10:43:45,CM,65.4932156,TEMPCelsius,-1.6497114
ELEC40,ELECTRIC,20240313 10:43:45,kWH,70.2769699,kVA,7.776568
GPS40,GPS,20240313 10:43:45,Latitude,49.6329761,Longitude,-111.6672099
GAS40,GAS,20240313 10:43:45,CF,86.2597320,PSI,1.8136382
H2O40,H2O,20240313 10:43:45,CM,17.8473309,TEMPCelsius,11.4592149
ELEC41,ELECTRIC,20240313 10:43:45,kWH,98.2328502,kVA,7.4545872
GPS41,GPS,20240313 10:43:45,Latitude,49.4615382,Longitude,-111.9930374
GAS41,GAS,20240313 10:43:45,CF,78.6423336,PSI,1.6064493
H2O41,H2O,20240313 10:43:45,CM,94.9255074,TEMPCelsius,14.7550511
ELEC42,ELECTRIC,20240313 10:43:45,kWH,82.1983905,kVA,4.8890647
GPS42,GPS,20240313 10:43:45,Latitude,50.1370362,Longitude,-110.5011536
GAS42,GAS,20240313 10:43:45,CF,63.9708370,PSI,1.1566435
H2O42,H2O,20240313 10:43:45,CM,64.4310527,TEMPCelsius,15.3907842
ELEC43,ELECTRIC,20240313 10:43:45,kWH,96.8932653,kVA,2.9860741
GPS43,GPS,20240313 10:43:45,Latitude,49.3746413,Longitude,-111.6263780
GAS43,GAS,20240313 10:43:45,CF,28.354686,PSI,1.2765626
H2O43,H2O,20240313 10:43:45,CM,27.410199,TEMPCelsius,12.6459885
ELEC44,ELECTRIC,20240313 10:43:45,kWH,67.4094076,kVA,2.7285544
GPS44,GPS,20240313 10:43:45,Latitude,50.7514318,Longitude,-110.6870770
GAS44,GAS,20240313 10:43:45,CF,31.1059531,PSI,1.9013002
H2O44,H2O,20240313 10:43:45,CM,84.9174484,TEMPCelsius,16.533923
ELEC45,ELECTRIC,20240313 10:43:45,kWH,24.3092357,kVA,9.8634591
GPS45,GPS,20240313 10:43:45,Latitude,49.7291622,Longitude,-110.8596441
GAS45,GAS,20240313 10:43:45,CF,74.9439867,PSI,1.8123787
H2O45,H2O,20240313 10:43:45,CM,77.2260056,TEMPCelsius,7.9026988
ELEC46,ELECTRIC,20240313 10:43:45,kWH,5.2708504,kVA,5.5023312
GPS46,GPS,20240313 10:43:45,Latitude,50.3945093,Longitude,-110.8379178
GAS46,GAS,20240313 10:43:45,CF,78.1361820,PSI,1.8932717
H2O46,H2O,20240313 10:43:45,CM,21.5193863,TEMPCelsius,27.4372271
ELEC47,ELECTRIC,20240313 10:43:45,kWH,49.2775280,kVA,6.6660964
GPS47,GPS,20240313 10:43:45,Latitude,49.4001996,Longitude,-110.6262110
GAS47,GAS,20240313 10:43:45,CF,28.6369837,PSI,0.1031648
H2O47,H2O,20240313 10:43:45,CM,39.3032767,TEMPCelsius,20.4547471
ELEC48,ELECTRIC,20240313 10:43:45,kWH,97.327569,kVA,0.6323089
GPS48,GPS,20240313 10:43:45,Latitude,51.6915598,Longitude,-111.3277822
GAS48,GAS,20240313 10:43:45,CF,58.9266890,PSI,0.8786430
H2O48,H2O,20240313 10:43:45,CM,7.6535153,TEMPCelsius,20.1872376
ELEC49,ELECTRIC,20240313 10:43:45,kWH,45.8878013,kVA,2.3451676
GPS49,GPS,20240313 10:43:45,Latitude,51.685839,Longitude,-111.659275
GAS49,GAS,20240313 10:43:45,CF,72.8112405,PSI,1.2653358
H2O49,H2O,20240313 10:43:45,CM,61.3081263,TEMPCelsius,6.1006825
ELEC50,ELECTRIC,20240313 10:43:45,kWH,84.2703314,kVA,4.6562801
GPS50,GPS,20240313 10:43:45,Latitude,51.3846537,Longitude,-111.5794534
GAS50,GAS,20240313 10:43:45,CF,30.1102130,PSI,0.1017600
H2O50,H2O,20240313 10:43:45,CM,82.5710910,TEMPCelsius,17.113336
ELEC51,ELECTRIC,20240313 10:43:45,kWH,94.6072899,kVA,9.8459521
GPS51,GPS,20240313 10:43:45,Latitude,49.4270362,Longitude,-110.7447167
GAS51,GAS,20240313 10:43:45,CF,25.6462939,PSI,1.4766067
H2O51,H2O,20240313 10:43:45,CM,77.7974960,TEMPCelsius,29.5773552
ELEC52,ELECTRIC,20240313 10:43:45,kWH,86.5918301,kVA,7.9879228
GPS52,GPS,20240313 10:43:45,Latitude,51.833062,Longitude,-110.5544253
GAS52,GAS,20240313 10:43:45,CF,23.1523020,PSI,1.5801729
H2O52,H2O,20240313 10:43:45,CM,21.3219467,TEMPCelsius,0.4028743
ELEC53,ELECTRIC,20240313 10:43:45,kWH,95.9492811,kVA,7.7084459
GPS53,GPS,20240313 10:43:45,Latitude,50.977534,Longitude,-111.8082609
GAS53,GAS,20240313 10:43:45,CF,35.1145585,PSI,1.7060790
H2O53,H2O,20240313 10:43:45,CM,87.8626210,TEMPCelsius,9.198467
ELEC54,ELECTRIC,20240313 10:43:45,kWH,12.7880954,kVA,4.1467940
GPS54,GPS,20240313 10:43:45,Latitude,51.4206063,Longitude,-110.6588707
GAS54,GAS,20240313 10:43:45,CF,52.6090741,PSI,0.1638886
H2O54,H2O,20240313 10:43:45,CM,60.4392176,TEMPCelsius,25.7540245
ELEC55,ELECTRIC,20240313 10:43:45,kWH,73.9235785,kVA,3.1356642
GPS55,GPS,20240313 10:43:45,Latitude,50.465383,Longitude,-110.8999667
GAS55,GAS,20240313 10:43:45,CF,50.449930,PSI,1.9866768
H2O55,H2O,20240313 10:43:45,CM,33.8786802,TEMPCelsius,28.4021460
ELEC56,ELECTRIC,20240313 10:43:45,kWH,25.3611650,kVA,5.4540721
GPS56,GPS,20240313 10:43:45,Latitude,51.8722375,Longitude,-110.9372761
GAS56,GAS,20240313 10:43:45,CF,50.1909849,PSI,1.4535476
H2O56,H2O,20240313 10:43:45,CM,52.464073,TEMPCelsius,18.9422420
ELEC57,ELECTRIC,20240313 10:43:45,kWH,43.7594233,kVA,0.1342488
GPS57,GPS,20240313 10:43:45,Latitude,49.828978,Longitude,-110.7127576
GAS57,GAS,20240313 10:43:45,CF,72.2322124,PSI,0.4138853
H2O57,H2O,20240313 10:43:45,CM,83.2570603,TEMPCelsius,10.2425739
ELEC58,ELECTRIC,20240313 10:43:45,kWH,72.157001,kVA,9.9611719
GPS58,GPS,20240313 10:43:45,Latitude,49.8541060,Longitude,-111.5573199
GAS58,GAS,20240313 10:43:45,CF,49.5054908,PSI,1.1211136
H2O58,H2O,20240313 10:43:45,CM,92.2087462,TEMPCelsius,-1.4089373
ELEC59,ELECTRIC,20240313 10:43:45,kWH,52.7348473,kVA,5.8175380
GPS59,GPS,20240313 10:43:45,Latitude,49.5647713,Longitude,-110.680881
GAS59,GAS,20240313 10:43:45,CF,72.889239,PSI,1.5508328
H2O59,H2O,20240313 10:43:45,CM,76.6002525,TEMPCelsius,14.4830614
ELEC60,ELECTRIC,20240313 10:43:45,kWH,0.3648327,kVA,6.2504728
GPS60,GPS,20240313 10:43:45,Latitude,51.2779508,Longitude,-111.5262014
GAS60,GAS,20240313 10:43:45,CF,0.8046731,PSI,0.840818
H2O60,H2O,20240313 10:43:45,CM,59.1967623,TEMPCelsius,4.5807114
ELEC61,ELECTRIC,20240313 10:43:45,kWH,30.3047908,kVA,4.2884683
GPS61,GPS,20240313 10:43:45,Latitude,50.1737926,Longitude,-110.2049519
GAS61,GAS,20240313 10:43:45,CF,34.5877208,PSI,1.2736402
H2O61,H2O,20240313 10:43:45,CM,29.6955109,TEMPCelsius,4.1131468
ELEC62,ELECTRIC,20240313 10:43:45,kWH,88.9778509,kVA,9.3564165
GPS62,GPS,20240313 10:43:45,Latitude,51.7582049,Longitude,-111.4438865
GAS62,GAS,20240313 10:43:45,CF,36.8408504,PSI,0.9123347
H2O62,H2O,20240313 10:43:45,CM,12.7416980,TEMPCelsius,28.2389974
ELEC63,ELECTRIC,20240313 10:43:45,kWH,83.7941341,kVA,8.8394333
GPS63,GPS,20240313 10:43:45,Latitude,51.6124991,Longitude,-110.2034247
GAS63,GAS,20240313 10:43:45,CF,52.4099786,PSI,0.2164724
H2O63,H2O,20240313 10:43:45,CM,87.3743507,TEMPCelsius,-3.6147338
ELEC64,ELECTRIC,20240313 10:43:45,kWH,47.2859547,kVA,2.3139858
GPS64,GPS,20240313 10:43:45,Latitude,50.2154103,Longitude,-111.2592310
GAS64,GAS,20240313 10:43:45,CF,71.6932529,PSI,0.1259684
H2O64,H2O,20240313 10:43:45,CM,51.1941225,TEMPCelsius,-1.6418352
ELEC65,ELECTRIC,20240313 10:43:45,kWH,26.2336107,kVA,9.6856555
GPS65,GPS,20240313 10:43:45,Latitude,49.1041854,Longitude,-111.9717856
GAS65,GAS,20240313 10:43:45,CF,68.1857511,PSI,1.6265830
H2O65,H2O,20240313 10:43:45,CM,14.8147475,TEMPCelsius,8.6404873
ELEC66,ELECTRIC,20240313 10:43:45,kWH,85.8416928,kVA,1.8811207
GPS66,GPS,20240313 10:43:45,Latitude,49.1857691,Longitude,-110.579922
GAS66,GAS,20240313 10:43:45,CF,89.6066409,PSI,1.1979800
H2O66,H2O,20240313 10:43:45,CM,47.6786009,TEMPCelsius,23.6865580
ELEC67,ELECTRIC,20240313 10:43:45,kWH,42.9434426,kVA,9.9091478
GPS67,GPS,20240313 10:43:45,Latitude,49.326937,Longitude,-111.5364077
GAS67,GAS,20240313 10:43:45,CF,6.6753857,PSI,0.4034127
H2O67,H2O,20240313 10:43:45,CM,24.8116275,TEMPCelsius,28.6427248
ELEC68,ELECTRIC,20240313 10:43:45,kWH,54.6051502,kVA,2.8700509
GPS68,GPS,20240313 10:43:45,Latitude,51.8955161,Longitude,-110.2453608
GAS68,GAS,20240313 10:43:45,CF,31.3574382,PSI,1.6566558
H2O68,H2O,20240313 10:43:45,CM,36.6008280,TEMPCelsius,17.3577127
ELEC69,ELECTRIC,20240313 10:43:45,kWH,94.4698202,kVA,9.6647757
GPS69,GPS,20240313 10:43:45,Latitude,51.569897,Longitude,-111.5115727
GAS69,GAS,20240313 10:43:45,CF,29.6619120,PSI,0.9841495
H2O69,H2O,20240313 10:43:45,CM,88.725416,TEMPCelsius,26.1670419
ELEC70,ELECTRIC,20240313 10:43:45,kWH,31.5471609,kVA,8.269938
GPS70,GPS,20240313 10:43:45,Latitude,51.8960535,Longitude,-111.2002291
GAS70,GAS,20240313 10:43:45,CF,77.7306842,PSI,1.6132165
H2O70,H2O,20240313 10:43:45,CM,54.6733754,TEMPCelsius,23.9739052
ELEC71,ELECTRIC,20240313 10:43:45,kWH,79.1054429,kVA,5.9650837
GPS71,GPS,20240313 10:43:45,Latitude,50.1726625,Longitude,-111.1464462
GAS71,GAS,20240313 10:43:45,CF,10.5343073,PSI,0.7982294
H2O71,H2O,20240313 10:43:45,CM,85.612933,TEMPCelsius,1.208506
ELEC72,ELECTRIC,20240313 10:43:45,kWH,87.2760564,kVA,3.6091924
GPS72,GPS,20240313 10:43:45,Latitude,49.6044608,Longitude,-111.9752180
GAS72,GAS,20240313 10:43:45,CF,39.1871981,PSI,0.3438343
H2O72,H2O,20240313 10:43:45,CM,52.4901746,TEMPCelsius,4.850743
ELEC73,ELECTRIC,20240313 10:43:45,kWH,4.6606194,kVA,3.4217761
GPS73,GPS,20240313 10:43:45,Latitude,50.4259514,Longitude,-110.2299059
GAS73,GAS,20240313 10:43:45,CF,14.8138173,PSI,1.3885136
H2O73,H2O,20240313 10:43:45,CM,48.7302739,TEMPCelsius,26.3573541
ELEC74,ELECTRIC,20240313 10:43:45,kWH,71.8607894,kVA,4.6945105
GPS74,GPS,20240313 10:43:45,Latitude,50.8104095,Longitude,-110.6393108
GAS74,GAS,20240313 10:43:45,CF,16.864713,PSI,1.8595162
H2O74,H2O,20240313 10:43:45,CM,51.5209635,TEMPCelsius,24.1368120
ELEC75,ELECTRIC,20240313 10:43:45,kWH,71.5642743,kVA,3.9671851
GPS75,GPS,20240313 10:43:45,Latitude,50.6719155,Longitude,-111.7647662
GAS75,GAS,20240313 10:43:45,CF,40.7130603,PSI,1.7666946
H2O75,H2O,20240313 10:43:45,CM,10.2911010,TEMPCelsius,-2.216701
ELEC76,ELECTRIC,20240313 10:43:45,kWH,23.3743469,kVA,4.3722201
GPS76,GPS,20240313 10:43:45,Latitude,50.7650591,Longitude,-111.2873338
GAS76,GAS,20240313 10:43:45,CF,97.7401178,PSI,0.5392372
H2O76,H2O,20240313 10:43:45,CM,14.9204446,TEMPCelsius,4.2669430
ELEC77,ELECTRIC,20240313 10:43:45,kWH,24.3830002,kVA,6.3560315
GPS77,GPS,20240313 10:43:45,Latitude,50.8678200,Longitude,-110.6477326
GAS77,GAS,20240313 10:43:45,CF,33.2811457,PSI,0.2589354
H2O77,H2O,20240313 10:43:45,CM,4.5655532,TEMPCelsius,22.9282063
ELEC78,ELECTRIC,20240313 10:43:45,kWH,7.5209561,kVA,6.5592631
GPS78,GPS,20240313 10:43:45,Latitude,50.9768158,Longitude,-110.8224576
GAS78,GAS,20240313 10:43:45,CF,83.3801600,PSI,0.876362
H2O78,H2O,20240313 10:43:45,CM,15.1497946,TEMPCelsius,19.6727739
ELEC79,ELECTRIC,20240313 10:43:45,kWH,9.4542726,kVA,9.8995635
GPS79,GPS,20240313 10:43:45,Latitude,51.1074807,Longitude,-111.874824
GAS79,GAS,20240313 10:43:45,CF,51.8683577,PSI,0.3220342
H2O79,H2O,20240313 10:43:45,CM,49.7993186,TEMPCelsius,25.5385691
ELEC80,ELECTRIC,20240313 10:43:45,kWH,76.6065749,kVA,3.7641469
GPS80,GPS,20240313 10:43:45,Latitude,49.6597802,Longitude,-111.9194115
GAS80,GAS,20240313 10:43:45,CF,94.4012847,PSI,1.5390316
H2O80,H2O,20240313 10:43:45,CM,47.479175,TEMPCelsius,15.1896673
ELEC81,ELECTRIC,20240313 10:43:45,kWH,78.5234726,kVA,4.734744
GPS81,GPS,20240313 10:43:45,Latitude,49.363729,Longitude,-110.6578293
GAS81,GAS,20240313 10:43:45,CF,65.3974191,PSI,0.9939973
H2O81,H2O,20240313 10:43:45,CM,19.4255869,TEMPCelsius,26.6177480
ELEC82,ELECTRIC,20240313 10:43:45,kWH,5.3931272,kVA,9.8595884
GPS82,GPS,20240313 10:43:45,Latitude,51.3594912,Longitude,-111.7166967
GAS82,GAS,20240313 10:43:45,CF,73.6040815,PSI,1.6826217
H2O82,H2O,20240313 10:43:45,CM,93.9988363,TEMPCelsius,17.1240765
ELEC83,ELECTRIC,20240313 10:43:45,kWH,97.7803371,kVA,2.8245302
GPS83,GPS,20240313 10:43:45,Latitude,49.6480311,Longitude,-110.5522156
GAS83,GAS,20240313 10:43:45,CF,99.1834396,PSI,0.9746303
H2O83,H2O,20240313 10:43:45,CM,1.3595371,TEMPCelsius,28.2995027
ELEC84,ELECTRIC,20240313 10:43:45,kWH,63.5432342,kVA,9.3245877
GPS84,GPS,20240313 10:43:45,Latitude,51.2258903,Longitude,-110.5988014
